No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'11002665,6.2,7.42,2.6,0,0,0,6.5,8.5,9.75,6.2,8.8,6.2,6.2
'11002031,6.2,5.5,5.6,0,0,0,2.75,7,8.75,6.2,11.8,6.2,6.2
'11002155,6.2,5.25,2.8,0,0,0,4,7,7.75,6.2,9,6.2,6.2
'11002564,6.2,6.25,2.2,0,0,0,5.25,5.25,6,6.2,8.4,6.2,6.2
'11002565,6.2,7.75,8.2,0,0,0,9,8,9.25,6.2,14.4,6.2,6.2
'11002006,6.2,7.75,4.6,0,0,0,4,7.5,8.5,6.2,10.8,6.2,6.2
'11002125,6.2,6.25,5,0,0,0,5.5,8,9,6.2,11.2,6.2,6.2
'11002748,6.2,5.75,4,0,0,0,4,6.75,8.5,6.2,10.2,6.2,6.2
'11002012,6.2,4.5,3.2,0,0,0,5.25,5.75,8,6.2,9.4,6.2,6.2
'11002837,6.2,5.75,3.6,0,0,0,5.75,7.75,9.5,6.2,9.8,6.2,6.2
'11002392,6.2,7.75,7,0,0,0,0,0,0,6.2,13.2,6.2,6.2
'11002478,6.2,6.25,3.8,0,0,0,6,7,8.5,6.2,10,6.2,6.2
'11002580,6.2,5.75,4.2,0,0,0,7.25,7,9,6.2,10.4,6.2,6.2
'11002581,6.2,5.5,3,0,0,0,6.25,7.75,9.25,6.2,9.2,6.2,6.2
'11002430,6.2,6.5,3.4,0,0,0,8,8.25,8.25,6.2,9.6,6.2,6.2
'11002432,6.2,6.5,4.8,0,0,0,4.5,7,8.5,6.2,11,6.2,6.2
'11002534,6.2,7.5,4,0,0,0,6.25,7.5,9,6.2,10.2,6.2,6.2
'11002340,6.2,5.5,3.2,0,0,0,4.5,7.75,9.25,6.2,9.4,6.2,6.2
'11002397,6.2,4.75,2.6,0,0,0,5.5,6,9,6.2,8.8,6.2,6.2
'11002859,6.2,6.75,3.6,0,0,0,4.25,6.5,8.75,6.2,9.8,6.2,6.2
'11002595,6.2,5.5,4.4,0,0,0,6.25,7,8,6.2,10.6,6.2,6.2
'11002047,6.2,4,3,0,0,0,5.5,7,8.25,6.2,9.2,6.2,6.2
'11002224,6,4.25,2.4,0,0,0,3.5,7.75,8.5,6,8.4,6,6
'11002099,6,4.25,2.6,0,0,0,3.5,6.5,7.25,6,8.6,6,6
'11002085,6,5.5,2.4,0,0,0,5.25,7.75,8,6,8.4,6,6
'11002479,6,7,5.2,0,0,0,6.5,8.5,9.25,6,11.2,6,6
'11002329,6,8,4,0,0,0,6.75,7.25,8.75,6,10,6,6
'11002541,6,6.75,4.2,0,0,0,3.75,6.75,8.5,6,10.2,6,6
'11002066,6,5.25,2.4,0,0,0,5,6.5,7.5,6,8.4,6,6
'11002332,6,6,3.8,0,0,0,6.25,7.5,9,6,9.8,6,6
'11002487,6,6.25,3.6,0,0,0,6,6.5,8.75,6,9.6,6,6
'11002551,6,7.25,4.8,0,0,0,7.25,7.25,9,6,10.8,6,6
'11002433,6,5.5,2,0,0,0,6.5,7.75,8.5,6,8,6,6
'11002338,6,6.25,3.6,0,0,0,6,8,7.75,6,9.6,6,6
'11002819,6,4.25,4,0,0,0,7.5,9,8,6,10,6,6
'11002678,6,7,3,0,0,0,3.5,7,8.5,6,9,6,6
'11002825,6,5,3.8,0,0,0,6,7.25,8.75,6,9.8,6,6
'11002044,6,4.5,3,0,0,0,4.25,6.5,7.75,6,9,6,6
'11002441,6,7.5,2.8,0,0,0,6.75,6.75,9,6,8.8,6,6
'11002442,6,6.5,4,0,0,0,3.25,4.75,7.25,6,10,6,6
'11002834,6,6,3.6,0,0,0,8.25,7.25,9.25,6,9.6,6,6
'11002444,6,7,3,0,0,0,6.75,7.25,8.25,6,9,6,6
'11002503,6,6.5,3.6,0,0,0,4.5,7.25,8.25,6,9.6,6,6
'11002292,6,5.25,3.4,0,0,0,7.75,8.25,9,6,9.4,6,6
'11002295,6,7,3.4,0,0,0,5,6,8,6,9.4,6,6
'11002124,6,6.25,3.6,0,0,0,6.5,6.5,8.25,6,9.6,6,6
'11002571,6,8.5,4.2,0,0,0,6.75,7.5,9.25,6,10.2,6,6
'11002515,6,7.5,3.8,0,0,0,5.25,7.5,8,6,9.8,6,6
'11002196,6,5.5,5.2,0,0,0,5.75,6.75,7.75,6,11.2,6,6
'11002457,6,8,4.2,0,0,0,7,7.5,9,6,10.2,6,6
'11002205,6,6,3.4,0,0,0,3.75,7.5,9,6,9.4,6,6
'11002003,6,5.75,3.4,0,0,0,2.5,7.5,8.75,6,9.4,6,6
'11002092,6,5.75,4.8,0,0,0,5.25,8,9.5,6,10.8,6,6
'11002219,6,7,2.6,0,0,0,3.75,6.75,8.25,6,8.6,6,6
'11002860,6,6.75,3.8,0,0,0,6.25,7,9.5,6,9.8,6,6
'11002864,6,7,3.4,0,0,0,4.75,7.5,8.75,6,9.4,6,6
'11002063,6,5,3.4,0,0,0,8.25,8.25,8.75,6,9.4,6,6
'11002530,6,7,3.6,0,0,0,4,7.5,8.75,6,9.6,6,6
'11002542,5.8,4.25,2.8,0,0,0,6.25,6.75,8.25,5.8,8.6,5.8,5.8
'11002177,5.8,5.5,3.6,0,0,0,8,8,7.75,5.8,9.4,5.8,5.8
'11002179,5.8,5.5,3.4,0,0,0,6.5,7.25,8.5,5.8,9.2,5.8,5.8
'11002548,5.8,8.25,4,0,0,0,5.5,7.25,8.5,5.8,9.8,5.8,5.8
'11002605,5.8,6.5,2.6,0,0,0,3.25,4.75,9.25,5.8,8.4,5.8,5.8
'11002417,5.8,4.75,3,0,0,0,7,8.5,8.75,5.8,8.8,5.8,5.8
'11002627,5.8,5.75,2.4,0,0,0,5.75,6.75,8.75,5.8,8.2,5.8,5.8
