'11000333;7.4;6.75;3.8;0;0;0;3.5;7;9
'11000334;3;4;0;0;0;0;3;4.25;0
'11000335;3;5;2.6;0;0;0;5.5;7.25;7.5
'11000336;4.2;6.25;1.8;0;0;0;6.25;6.75;9.75
'11000337;2.6;3.75;2.8;0;0;0;4.25;6.75;0
'11000338;5.6;6;2.8;0;0;0;6.5;7.75;8.75
'11000339;4.8;5.75;3;0;0;0;4.5;7.5;9.5
'11000340;4.6;7.5;3.6;0;0;0;6;7.75;8.75
'11000341;4.8;5;4.2;0;0;0;2.5;6.25;8
'11000342;3;7;3.2;0;0;0;3.25;6;0
'11000343;6.4;7;3;0;0;0;4.75;6.25;8.25
'11000344;3.6;4.25;2.8;0;0;0;4.5;7.25;8.5
'11000345;2.6;6.92;1.8;0;0;0;4.5;6.5;9.25
'11000346;3.4;3.5;0;0;0;0;4.5;6.25;0
'11000347;2.6;3.5;3.2;0;0;0;0;0;0
'11000348;6.6;7.5;3;0;0;0;5.75;6.25;9.5
'11000349;3;5.5;3.2;0;0;0;2.5;6;7.5
'11000350;3;5.5;3.8;0;0;0;5.25;5.5;9
'11000351;2.2;3.75;1.8;0;0;0;3.5;4.25;7.25
'11000352;2.6;5;1.8;0;0;0;4;5.5;0
'11000353;3.4;5;2.6;0;0;0;6.75;8;8.75
'11000354;2;2.25;3.8;0;0;0;2.75;4.5;7.75
'11000355;5.4;6.75;3.2;0;0;0;5.25;5.25;8.5
'11000356;4.8;3.5;0;0;0;0;5.25;7;0
'11000357;5.4;6.25;2.4;0;0;0;5.75;7.25;8
'11000358;5;6;2.4;0;0;0;4;6.75;8.5
'11000359;7.8;5.5;3.8;0;0;0;4.25;6;9
'11000360;3.2;4.5;2.4;0;0;0;4.5;6;7.75
'11000361;3.2;4.5;3.8;0;0;0;4;7.25;7.5
'11000362;5.6;7;3.8;0;0;0;3.75;8.5;8.75
'11000363;3.4;7.25;1.8;0;0;0;4.75;6.5;9.5
'11000364;2.4;3.5;3.4;0;0;0;3.25;0;6
'11000365;7.6;5;3.6;0;0;0;6.75;7;9.5
'11000366;0;7.5;4.2;0;0;0;8.5;9;8.75
'11000367;3.2;6.5;0;0;0;0;0;8;8.25
'11000368;4.4;5;3;0;0;0;4;5;7.5
'11000369;5.2;5.75;4;0;0;0;3.25;6.25;7.5
'11000370;2.4;4.25;2.8;0;0;0;3.5;5.5;6.75
'11000371;4;5;4.2;0;0;0;3.75;5;7.75
'11000372;2.6;5.75;3.4;0;0;0;6;6.25;8
'11000373;6;5.75;3.2;0;0;0;6;6;8.5
'11000374;5;6;2.4;0;0;0;4;7.5;7.75
'11000375;5.8;5.75;3;0;0;0;5;7.25;8
'11000376;2.4;4.5;2.4;0;0;0;4.75;5;6.75
'11000377;2.4;4.5;3.6;0;0;0;3.75;6;7.75
'11000378;5.4;5.5;2;0;0;0;4;5.5;8.5
'11000379;5.4;6.5;3.2;0;0;0;5.75;5.75;9.25
'11000380;4.2;5;3;0;0;0;5.75;5.75;7.25
'11000381;5.2;5;2.6;0;0;0;4.25;6.25;7.75
'11000382;4.6;5.75;2.6;0;0;0;3.25;6;8.5
'11000383;4.2;6;3.6;0;0;0;2.75;5.25;6
'11000384;5.8;7.5;3.8;0;0;0;7;7;9.75
'11000385;4;6.5;2;0;0;0;4.25;8;8.5
'11000386;3.8;6.25;2.8;0;0;0;4.75;7.5;9
'11000387;6.2;7.25;2.2;0;0;0;5.25;7.75;8
'11000388;4.4;6;3;0;0;0;4;6.75;8.75
'11000389;5.4;6.5;3;0;0;0;3.5;7.5;8.25
'11000390;3.8;6;3.2;0;0;0;3;7;7.5
'11000391;5.6;7.5;3;0;0;0;5.75;7;9
'11000392;6.4;7;2.8;0;0;0;6;7.5;9.25
'11000393;4.4;6.5;2.4;0;0;0;5;6;7.75
'11000394;3.4;6;2.2;0;0;0;3.25;6;7.25
'11000395;2.8;4.5;2.8;0;0;0;0;0;0
'11000396;3.8;5.5;2.4;0;0;0;6;7.5;8.75
'11000397;3.6;6;3.2;0;0;0;5.75;7.25;8.75
'11000398;2.4;5.75;2;0;0;0;4;4.75;5.75
'11000399;4.6;6.5;2.4;0;0;0;2.75;5.5;6.75
'11000400;5.2;5.25;3.6;0;0;0;2.5;6;7.25
'11000401;8.4;8;4.6;0;0;0;7.75;8.5;0
'11000402;5.8;8;4.8;0;0;0;4.5;7.75;9.75
'11000403;2.4;4;2.4;0;0;0;3.75;3.25;6
'11000404;6.4;5.5;3.8;0;0;0;5.5;7;9
'11000405;5.4;7.5;3.6;0;0;0;3.75;7;8.25
'11000406;6.6;7.25;3;0;0;0;6;8.25;9.25
'11000407;3.2;4.75;3.6;0;0;0;3;5.5;7.25
'11000408;5.2;6.5;3.8;0;0;0;6;7.75;9.25
'11000409;4.6;6.5;2.6;0;0;0;5.25;6.25;8.25
'11000410;5;6;2.6;0;0;0;3.5;6;8.25
'11000411;2.6;5.25;2;0;0;0;2.5;4.25;5.25
'11000412;6.6;6.75;3.2;0;0;0;5.5;7.75;8.25
'11000413;3;4.5;2;0;0;0;4;3.5;7.25
'11000414;5.4;6;4.6;0;0;0;4.75;7;8.25
'11000415;1.6;4.5;3.8;0;0;0;0;0;0
'11000416;2.8;4.5;1.6;0;0;0;4.75;6;7.5
'11000417;4.6;4;3.2;0;0;0;6.5;6.75;8.75
'11000418;4.6;5.75;2.2;0;0;0;4.75;6.25;7.5
'11000419;6;7.25;3.8;0;0;0;4.5;7;9.5
'11000420;7.4;6;1.6;0;0;0;2.5;7.25;9.25
'11000421;6.2;5;2.2;0;0;0;4.5;8.5;9.25
'11000422;5.6;5.5;3.8;0;0;0;4.75;5;6.25
'11000423;3.6;5;2.8;0;0;0;4.5;5.25;6.75
