No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001023,8.6,6.25,4,8,8.25,5.5,0,0,0,24.85,20.6,22.35,18.85
'32001927,8.6,6.75,6.8,7.75,8.5,6,0,0,0,24.85,23.15,23.1,22.15
'32001469,8.6,6.25,3.4,8,8.25,6.25,0,0,0,24.85,20,23.1,18.25
'32002341,8.6,7.25,5.4,7.5,8.75,8.25,0,0,0,24.85,21.5,25.6,21.25
'32000344,8.8,5.75,4.2,8.5,7.5,5.25,0,0,0,24.8,21.5,21.55,18.75
'32000373,8.8,6.75,7,7.25,8.75,8.5,0,0,0,24.8,23.05,26.05,22.55
'32000673,8.8,7.75,6.6,7,9,8.25,0,0,0,24.8,22.4,26.05,23.15
'32002757,8.8,7,7.2,8,8,7.25,0,0,0,24.8,24,24.05,23
'32002614,8.8,7.5,7.8,8.25,7.75,6,0,0,0,24.8,24.85,22.55,24.1
'32000475,9,0,0,8,7.75,0,0,0,0,24.75,17,16.75,9
'32000998,9,6.25,5,7,8.75,5.25,0,0,0,24.75,21,23,20.25
'32002480,8,7,7.8,8,8.75,6.5,0,0,0,24.75,23.8,23.25,22.8
'32001418,9,7,2,7.25,8.5,4.5,0,0,0,24.75,18.25,22,18
'32000795,9,5.5,3.4,8,7.75,4.5,0,0,0,24.75,20.4,21.25,17.9
'32002307,9,4.5,4.6,7.75,8,5.25,0,0,0,24.75,21.35,22.25,18.1
'32000638,9.2,5.75,4.8,6.75,8.75,6.75,0,0,0,24.7,20.75,24.7,19.75
'32001559,8.2,5,4.8,8,8.5,6.25,0,0,0,24.7,21,22.95,18
'32000614,8.4,5.75,4,7.5,8.75,5,0,0,0,24.65,19.9,22.15,18.15
'32001396,8.4,5.75,4.4,8,8.25,4.5,0,0,0,24.65,20.8,21.15,18.55
'32000524,8.4,6.25,3.8,8,8.25,5.75,0,0,0,24.65,20.2,22.4,18.45
'32002720,8.6,7.25,5,7.5,8.5,5.75,0,0,0,24.6,21.1,22.85,20.85
'32000492,8.6,7.25,4.4,7.75,8.25,4.25,0,0,0,24.6,20.75,21.1,20.25
'32000666,8.6,7.5,5.6,7.75,8.25,6.5,0,0,0,24.6,21.95,23.35,21.7
'32002621,8.6,6.25,3.6,8.5,7.5,2.5,0,0,0,24.6,20.7,18.6,18.45
'32001307,8.6,4.5,5.4,8.25,7.75,6.5,0,0,0,24.6,22.25,22.85,18.5
'32000098,8.8,4.75,2.2,7.5,8.25,3.75,0,0,0,24.55,18.5,20.8,15.75
'32001872,7.8,6.25,5,8.25,8.5,5,0,0,0,24.55,21.05,21.3,19.05
'32000048,8.8,5.25,2.6,8.5,7.25,5,0,0,0,24.55,19.9,21.05,16.65
'32000161,8.8,6.75,3.4,7.75,8,4.75,0,0,0,24.55,19.95,21.55,18.95
'32001139,8.8,4,3.2,8.5,7.25,4.5,0,0,0,24.55,20.5,20.55,16
'32000078,8,0,0,8.25,8.25,3.75,0,0,0,24.5,16.25,20,8
'32002771,9,6,9.6,8.5,7,5.5,0,0,0,24.5,27.1,21.5,24.6
'32002014,8.2,6.25,4.2,7.75,8.5,4.5,0,0,0,24.45,20.15,21.2,18.65
'32000630,8.2,7.5,6.4,8.5,7.75,6,0,0,0,24.45,23.1,21.95,22.1
'32001407,8.2,5.75,4.4,8.25,8,5.25,0,0,0,24.45,20.85,21.45,18.35
'32001233,8.2,7.5,4.4,7.5,8.75,7.75,0,0,0,24.45,20.1,24.7,20.1
