No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001756,9,8,6.8,0,0,0,6.5,7,8.25,9,15.8,9,23.8
'32001810,8.8,7,8,8.5,4,5,0,0,0,21.3,25.3,17.8,23.8
'32000178,9.6,7.75,6.4,7.5,9,9,0,0,0,26.1,23.5,27.6,23.75
'32001506,9,7.75,7,0,0,0,6.25,8.75,9.5,9,16,9,23.75
'32001693,8.4,8.75,6.6,0,0,0,6,6.25,7.75,8.4,15,8.4,23.75
'32002812,8,8.5,7.2,0,0,0,3,5.25,7.25,8,15.2,8,23.7
'32000939,8.6,8.5,6.6,0,0,0,6.25,7.5,9.75,8.6,15.2,8.6,23.7
'32001532,8.4,7.5,7.8,9,6.75,6.25,0,0,0,24.15,25.2,21.4,23.7
'32000672,9.2,7.5,7,8.5,9,5.75,0,0,0,26.7,24.7,23.95,23.7
'32002623,8.8,7.5,7.4,8,5.5,5.25,0,0,0,22.3,24.2,19.55,23.7
'32001671,8.6,9.25,5.8,0,0,0,6,6.75,9,8.6,14.4,8.6,23.65
'32000149,8.8,8.25,6.6,0,0,0,5.25,7.75,9,8.8,15.4,8.8,23.65
'32002809,8.2,8,7.4,0,0,0,5.5,5.75,8.75,8.2,15.6,8.2,23.6
'32002455,8.6,7,8,8,5,6.5,0,0,0,21.6,24.6,20.1,23.6
'32000069,8.6,7,8,0,0,0,6.5,8.75,9.5,8.6,16.6,8.6,23.6
'32001953,8.8,8,6.8,7.5,7,6,0,0,0,23.3,23.1,21.8,23.6
'32001364,8.4,9,6.2,0,0,0,0,0,0,8.4,14.6,8.4,23.6
'32001164,8.4,5.75,9.4,8.25,5.25,6.75,0,0,0,21.9,26.05,20.4,23.55
'32002241,7.4,7.5,8.6,0,0,0,0,0,0,7.4,16,7.4,23.5
'32002710,7.4,7.5,8.6,0,0,0,9.5,7.75,9.75,7.4,16,7.4,23.5
'32000658,8.2,8.5,6.8,0,0,0,7,8.25,9.75,8.2,15,8.2,23.5
'32002036,7.8,8.5,7.2,0,0,0,7,7.75,8.75,7.8,15,7.8,23.5
'32002447,7.8,7.25,8.4,0,0,0,7,7,8,7.8,16.2,7.8,23.45
'32002786,8.6,6.25,8.6,9.25,5.75,6.25,0,0,0,23.6,26.45,20.6,23.45
'32000697,7.6,8,7.8,0,0,0,6,7.25,9,7.6,15.4,7.6,23.4
'32000867,8.6,8,6.8,0,0,0,7,8.25,9.75,8.6,15.4,8.6,23.4
'32002379,9.2,7,7.2,8.5,5,6.5,0,0,0,22.7,24.9,20.7,23.4
'32001011,9,6,8.4,7,5.25,7.25,0,0,0,21.25,24.4,21.5,23.4
'32002410,8.8,7.75,6.8,0,0,0,6,6.5,8.5,8.8,15.6,8.8,23.35
'32001190,8.4,7.75,7.2,0,0,0,6.25,7.75,8.5,8.4,15.6,8.4,23.35
'32000576,8,8.5,6.8,0,0,0,6,7.75,9,8,14.8,8,23.3
'32000886,8.8,7.5,7,7.25,6.25,5.5,0,0,0,22.3,23.05,20.55,23.3
'32001643,8.8,6.5,8,7.75,6,6.75,0,0,0,22.55,24.55,21.55,23.3
'32000130,8.2,7.5,7.6,8.25,6,4,0,0,0,22.45,24.05,18.2,23.3
'32001864,9,5.5,8.8,8.25,6.25,6.25,0,0,0,23.5,26.05,21.5,23.3
'32002548,8.2,7.5,7.6,0,0,0,5,6.5,8,8.2,15.8,8.2,23.3
'32000356,8,8.5,6.8,0,0,0,7,6.25,8.75,8,14.8,8,23.3
